"Add special product by sku","Aggiungi articolo tramite riferimento"
"Add to cart","Metti nel carrello"
"Back list","Torna alla lista"
"Clear Shopping Cart","Cancella il carrello"
"Click on image to zoom","Clicca sull'immagine per ingrandire"
"Continue Shopping","Continua lo shopping"
"Display navigation product","Mostra l'articolo"
"Enabled custom media for product view","Attiva multimedia per l'articolo"
"Enabled redirect simple product to configurable product","Attiva il reindirizzamento dell'articolo semplice all'articolo configurabile"
"Lifetime cache navigation product","Lifetime cache navigation product"
"More Views","Più immagini"
"Move to Wishlist","Vai alla lista"
"Next","Seguente"
"None","Nessuno"
"Previous","Precedente"
"Product Name","Nome dell'articolo"
"Qty","Qtà"
"Remove","Cancella"
"Shopping Cart","Carrello"
"Special price product","Prezzo speciale dell'articolo"
"Subtotal","Totale"
"Time in second","Tempo in secondi"
"Unit Price","Unità di prezzo"
"Update Shopping Cart","Aggiorna il carrello"
